id_pedido,data_pedido,data_entrega,transportadora,regiao,status,valor
38,2026-02-20,2026-03-01,LogX,Centro-Oeste,atraso,989.82
39,2026-02-24,2026-02-25,UltraShip,Sul,entregue,102.01
40,2026-03-05,2026-03-14,UltraShip,Nordeste,atraso,387.26
41,2026-01-03,2026-01-12,FastLog,Sul,atraso,507.81
42,2026-02-20,2026-03-01,LogX,Norte,atraso,527.98
43,2026-01-07,2026-01-12,LogX,Centro-Oeste,atraso,350.14
44,2026-01-21,2026-01-30,LogX,Sudeste,atraso,742.78
45,2026-03-14,2026-03-18,FastLog,Sudeste,entregue,881.01
46,2026-02-08,2026-02-10,UltraShip,Centro-Oeste,entregue,941.78
47,2026-01-18,2026-01-24,Speedy,Nordeste,atraso,814.84
48,2026-01-04,2026-01-08,Speedy,Sul,entregue,858.05
49,2026-03-30,2026-04-05,UltraShip,Nordeste,atraso,573.02
50,2026-03-01,2026-03-04,Speedy,Sudeste,entregue,834.59
51,2026-01-14,2026-01-20,LogX,Centro-Oeste,atraso,338.33
52,2026-01-09,2026-01-11,Speedy,Centro-Oeste,entregue,428.55
53,2026-03-31,2026-04-02,FastLog,Nordeste,entregue,351.07
54,2026-02-22,2026-03-03,Speedy,Nordeste,atraso,494.02
55,2026-01-02,2026-01-09,FastLog,Sul,atraso,321.3
56,2026-03-25,2026-03-28,Speedy,Norte,entregue,963.53
57,2026-03-01,2026-03-02,FastLog,Norte,entregue,347.2
58,2026-03-12,2026-03-20,FastLog,Sul,atraso,143.14
59,2026-02-13,2026-02-19,FastLog,Norte,atraso,550.48
60,2026-01-08,2026-01-15,FastLog,Sudeste,atraso,104.24
61,2026-02-16,2026-02-25,Speedy,Norte,atraso,155.02
62,2026-02-04,2026-02-09,Speedy,Sul,atraso,258.42
63,2026-03-19,2026-03-20,LogX,Norte,entregue,491.13
64,2026-03-22,2026-03-29,FastLog,Centro-Oeste,atraso,461.59
65,2026-02-05,2026-02-10,FastLog,Nordeste,atraso,809.71
66,2026-02-19,2026-02-22,FastLog,Sudeste,entregue,752.5
67,2026-01-04,2026-01-13,FastLog,Centro-Oeste,atraso,455.0
68,2026-01-02,2026-01-03,UltraShip,Centro-Oeste,entregue,367.02
69,2026-01-06,2026-01-07,FastLog,Sul,entregue,350.65
70,2026-02-23,2026-02-24,LogX,Nordeste,entregue,785.3
71,2026-01-04,2026-01-07,FastLog,Nordeste,entregue,99.47
72,2026-02-23,2026-03-01,FastLog,Sudeste,atraso,62.18
73,2026-03-04,2026-03-07,LogX,Sul,entregue,805.77
74,2026-01-18,2026-01-26,Speedy,Sudeste,atraso,503.29
75,2026-03-31,2026-04-02,FastLog,Norte,entregue,174.34
76,2026-02-13,2026-02-22,FastLog,Centro-Oeste,atraso,273.79
77,2026-02-03,2026-02-06,LogX,Sudeste,entregue,935.88
78,2026-03-15,2026-03-20,FastLog,Centro-Oeste,atraso,866.53
79,2026-03-03,2026-03-11,FastLog,Sul,atraso,724.3
80,2026-01-14,2026-01-16,UltraShip,Norte,entregue,508.11
81,2026-02-17,2026-02-23,Speedy,Sul,atraso,544.31
82,2026-01-15,2026-01-20,LogX,Norte,atraso,976.48
83,2026-03-13,2026-03-22,LogX,Norte,atraso,967.48
84,2026-03-19,2026-03-24,LogX,Centro-Oeste,atraso,254.51
85,2026-03-28,2026-03-30,LogX,Sul,entregue,820.55
86,2026-03-03,2026-03-08,Speedy,Sul,atraso,237.38
87,2026-02-09,2026-02-13,Speedy,Sudeste,entregue,252.86
88,2026-03-26,2026-04-02,FastLog,Sul,atraso,692.29
89,2026-03-21,2026-03-27,LogX,Sudeste,atraso,434.75
90,2026-03-23,2026-03-25,LogX,Nordeste,entregue,934.97
91,2026-02-22,2026-02-27,UltraShip,Nordeste,atraso,134.56
92,2026-01-24,2026-01-31,Speedy,Nordeste,atraso,535.95
93,2026-01-26,2026-02-02,LogX,Sul,atraso,922.6
94,2026-03-30,2026-04-04,FastLog,Sul,atraso,908.91
95,2026-03-01,2026-03-10,Speedy,Sudeste,atraso,198.7
96,2026-02-10,2026-02-14,FastLog,Norte,entregue,398.31
97,2026-01-29,2026-02-01,LogX,Sudeste,entregue,638.17
98,2026-01-15,2026-01-19,FastLog,Nordeste,entregue,201.43
99,2026-02-14,2026-02-19,Speedy,Sudeste,atraso,969.62
100,2026-03-06,2026-03-12,FastLog,Norte,atraso,919.01
101,2026-03-30,2026-04-02,LogX,Sul,entregue,208.6
102,2026-03-12,2026-03-14,UltraShip,Sudeste,entregue,165.1
103,2026-01-09,2026-01-13,FastLog,Nordeste,entregue,131.14
104,2026-03-29,2026-04-03,LogX,Nordeste,atraso,913.97
105,2026-01-01,2026-01-05,LogX,Sul,entregue,233.94
106,2026-01-08,2026-01-11,FastLog,Sudeste,entregue,445.47
107,2026-03-29,2026-04-06,Speedy,Norte,atraso,476.41
108,2026-03-04,2026-03-08,FastLog,Sul,entregue,619.06
109,2026-01-11,2026-01-13,LogX,Sudeste,entregue,118.15
110,2026-03-22,2026-03-24,LogX,Centro-Oeste,entregue,265.42
111,2026-01-08,2026-01-09,Speedy,Nordeste,entregue,934.92
112,2026-02-04,2026-02-08,Speedy,Norte,entregue,912.99
113,2026-02-04,2026-02-13,FastLog,Norte,atraso,792.23
114,2026-02-02,2026-02-09,FastLog,Norte,atraso,68.43
115,2026-01-05,2026-01-12,Speedy,Nordeste,atraso,360.66
116,2026-02-10,2026-02-17,LogX,Sudeste,atraso,646.56
117,2026-01-28,2026-02-05,Speedy,Sul,atraso,311.43
118,2026-01-07,2026-01-08,Speedy,Sudeste,entregue,914.11
119,2026-03-14,2026-03-22,Speedy,Sul,atraso,652.19
120,2026-03-13,2026-03-17,LogX,Norte,entregue,118.31
121,2026-01-12,2026-01-16,LogX,Sudeste,entregue,913.56
122,2026-02-03,2026-02-07,Speedy,Norte,entregue,959.88
123,2026-02-02,2026-02-08,LogX,Centro-Oeste,atraso,123.83
124,2026-02-17,2026-02-24,FastLog,Norte,atraso,555.74
125,2026-01-23,2026-01-29,UltraShip,Norte,atraso,338.2
126,2026-03-03,2026-03-04,UltraShip,Sul,entregue,423.2
127,2026-03-29,2026-04-06,LogX,Centro-Oeste,atraso,220.67
128,2026-02-06,2026-02-13,FastLog,Norte,atraso,599.17
129,2026-02-13,2026-02-19,LogX,Norte,atraso,960.08
130,2026-03-27,2026-04-02,Speedy,Centro-Oeste,atraso,527.92
131,2026-02-04,2026-02-09,UltraShip,Centro-Oeste,atraso,128.77
132,2026-03-06,2026-03-12,FastLog,Sudeste,atraso,639.0
133,2026-02-16,2026-02-25,FastLog,Sul,atraso,373.21
134,2026-03-19,2026-03-28,UltraShip,Centro-Oeste,atraso,863.13
135,2026-01-03,2026-01-11,LogX,Centro-Oeste,atraso,462.94
136,2026-01-01,2026-01-10,LogX,Nordeste,atraso,233.2
137,2026-01-05,2026-01-13,UltraShip,Centro-Oeste,atraso,231.55
138,2026-03-31,2026-04-08,FastLog,Sul,atraso,780.33
139,2026-01-14,2026-01-15,Speedy,Norte,entregue,302.31
140,2026-01-27,2026-02-01,FastLog,Norte,atraso,778.87
141,2026-01-09,2026-01-13,LogX,Norte,entregue,245.59
142,2026-03-20,2026-03-22,Speedy,Norte,entregue,355.6
143,2026-01-15,2026-01-23,LogX,Nordeste,atraso,492.21
144,2026-03-31,2026-04-03,UltraShip,Centro-Oeste,entregue,946.04
145,2026-02-11,2026-02-15,LogX,Norte,entregue,935.14
146,2026-03-18,2026-03-25,LogX,Sudeste,atraso,246.53
147,2026-02-20,2026-03-01,FastLog,Norte,atraso,390.31
148,2026-03-04,2026-03-06,LogX,Centro-Oeste,entregue,191.93
149,2026-02-21,2026-02-24,LogX,Norte,entregue,534.49
150,2026-01-04,2026-01-08,FastLog,Nordeste,entregue,487.55
151,2026-01-23,2026-01-24,LogX,Sul,entregue,905.72
152,2026-01-15,2026-01-22,LogX,Sul,atraso,933.51
153,2026-02-12,2026-02-14,Speedy,Centro-Oeste,entregue,414.39
154,2026-01-29,2026-02-03,Speedy,Sul,atraso,517.15
155,2026-02-05,2026-02-06,Speedy,Sul,entregue,901.42
156,2026-01-13,2026-01-16,FastLog,Sudeste,entregue,816.37
157,2026-02-01,2026-02-03,FastLog,Centro-Oeste,entregue,53.47
158,2026-03-12,2026-03-13,Speedy,Centro-Oeste,entregue,354.06
159,2026-02-28,2026-03-07,LogX,Sul,atraso,450.69
160,2026-03-27,2026-04-01,FastLog,Sul,atraso,268.23
161,2026-01-28,2026-01-29,Speedy,Sul,entregue,239.59
162,2026-03-07,2026-03-13,Speedy,Nordeste,atraso,85.9
163,2026-02-11,2026-02-16,LogX,Norte,atraso,661.2
164,2026-02-14,2026-02-17,FastLog,Nordeste,entregue,299.38
165,2026-03-03,2026-03-10,Speedy,Centro-Oeste,atraso,99.73
166,2026-02-26,2026-03-07,LogX,Sudeste,atraso,269.43
167,2026-01-06,2026-01-15,Speedy,Norte,atraso,811.82
168,2026-01-28,2026-02-06,Speedy,Sudeste,atraso,858.91
169,2026-01-28,2026-01-30,Speedy,Centro-Oeste,entregue,508.91
170,2026-02-13,2026-02-16,LogX,Centro-Oeste,entregue,445.27
171,2026-03-25,2026-04-01,FastLog,Sudeste,atraso,978.96
172,2026-01-30,2026-02-04,Speedy,Sudeste,atraso,240.54
173,2026-03-03,2026-03-05,Speedy,Sudeste,entregue,254.59
174,2026-03-16,2026-03-19,Speedy,Centro-Oeste,entregue,327.27
175,2026-03-30,2026-04-05,FastLog,Sul,atraso,214.12
176,2026-03-03,2026-03-10,FastLog,Sudeste,atraso,410.4
177,2026-01-01,2026-01-10,UltraShip,Norte,atraso,915.29
178,2026-01-27,2026-01-28,Speedy,Centro-Oeste,entregue,634.58
179,2026-03-03,2026-03-10,UltraShip,Nordeste,atraso,441.35
180,2026-03-18,2026-03-26,Speedy,Nordeste,atraso,937.69
181,2026-01-03,2026-01-06,LogX,Norte,entregue,96.04
182,2026-03-11,2026-03-15,Speedy,Sul,entregue,249.76
183,2026-03-13,2026-03-19,UltraShip,Sudeste,atraso,587.59
184,2026-01-27,2026-02-03,LogX,Centro-Oeste,atraso,634.77
185,2026-01-09,2026-01-13,Speedy,Sudeste,entregue,87.58
186,2026-03-03,2026-03-11,FastLog,Centro-Oeste,atraso,432.89
187,2026-02-06,2026-02-11,LogX,Nordeste,atraso,666.7
188,2026-02-20,2026-02-21,Speedy,Sudeste,entregue,713.17
189,2026-02-13,2026-02-17,FastLog,Norte,entregue,656.23
190,2026-01-24,2026-01-27,FastLog,Sul,entregue,354.54
191,2026-03-20,2026-03-29,LogX,Norte,atraso,138.84
192,2026-02-28,2026-03-08,FastLog,Sul,atraso,455.76
193,2026-02-01,2026-02-02,FastLog,Sudeste,entregue,172.32
194,2026-03-29,2026-04-04,LogX,Sudeste,atraso,950.24
195,2026-02-21,2026-03-02,UltraShip,Sul,atraso,501.41
196,2026-03-03,2026-03-10,LogX,Nordeste,atraso,351.4
197,2026-02-27,2026-03-03,FastLog,Centro-Oeste,entregue,777.99
198,2026-02-21,2026-02-22,FastLog,Norte,entregue,523.05
199,2026-01-12,2026-01-14,Speedy,Norte,entregue,344.53
200,2026-02-08,2026-02-13,LogX,Norte,atraso,821.37
201,2026-01-02,2026-01-07,Speedy,Sudeste,atraso,873.79
202,2026-01-03,2026-01-11,Speedy,Norte,atraso,689.36
203,2026-02-25,2026-03-03,Speedy,Centro-Oeste,atraso,94.62
204,2026-03-22,2026-03-30,FastLog,Centro-Oeste,atraso,588.01
205,2026-02-28,2026-03-02,Speedy,Sul,entregue,775.13
206,2026-01-02,2026-01-05,FastLog,Sudeste,entregue,179.68
207,2026-01-02,2026-01-08,UltraShip,Centro-Oeste,atraso,267.24
208,2026-02-23,2026-02-26,Speedy,Nordeste,entregue,888.37
209,2026-03-28,2026-04-03,LogX,Sudeste,atraso,69.12
210,2026-01-01,2026-01-07,FastLog,Sudeste,atraso,765.09
211,2026-01-19,2026-01-21,FastLog,Centro-Oeste,entregue,500.08
212,2026-01-02,2026-01-09,Speedy,Nordeste,atraso,474.43
213,2026-02-22,2026-02-24,FastLog,Sul,entregue,56.74
214,2026-02-13,2026-02-19,LogX,Centro-Oeste,atraso,828.43
215,2026-03-31,2026-04-01,FastLog,Nordeste,entregue,391.83
216,2026-02-01,2026-02-04,Speedy,Sudeste,entregue,563.73
217,2026-03-11,2026-03-13,Speedy,Nordeste,entregue,693.44
218,2026-02-01,2026-02-08,Speedy,Sudeste,atraso,717.5
219,2026-03-09,2026-03-13,Speedy,Centro-Oeste,entregue,958.18
220,2026-02-24,2026-03-04,FastLog,Centro-Oeste,atraso,554.77
221,2026-03-16,2026-03-22,FastLog,Norte,atraso,429.73
222,2026-02-25,2026-03-01,Speedy,Norte,entregue,956.02
223,2026-01-17,2026-01-22,LogX,Norte,atraso,660.0
224,2026-02-07,2026-02-16,LogX,Centro-Oeste,atraso,333.24
225,2026-01-24,2026-01-31,FastLog,Sul,atraso,170.14
226,2026-03-10,2026-03-19,FastLog,Centro-Oeste,atraso,850.43
227,2026-03-11,2026-03-18,FastLog,Nordeste,atraso,394.07
228,2026-03-27,2026-03-28,UltraShip,Centro-Oeste,entregue,677.45
229,2026-01-11,2026-01-19,FastLog,Centro-Oeste,atraso,497.28
230,2026-01-16,2026-01-20,LogX,Sudeste,entregue,238.98
231,2026-03-14,2026-03-17,FastLog,Sudeste,entregue,621.6
232,2026-02-28,2026-03-07,Speedy,Sudeste,atraso,107.65
233,2026-03-11,2026-03-14,LogX,Centro-Oeste,entregue,442.68
234,2026-03-21,2026-03-29,UltraShip,Sul,atraso,569.28
235,2026-01-03,2026-01-09,UltraShip,Nordeste,atraso,464.24
236,2026-01-20,2026-01-25,LogX,Nordeste,atraso,761.24
237,2026-02-28,2026-03-04,UltraShip,Sul,entregue,836.53
238,2026-02-05,2026-02-13,UltraShip,Sul,atraso,782.68
239,2026-01-19,2026-01-27,Speedy,Nordeste,atraso,86.87
240,2026-03-31,2026-04-01,Speedy,Norte,entregue,234.42
241,2026-03-08,2026-03-17,FastLog,Sudeste,atraso,559.78
242,2026-01-19,2026-01-24,LogX,Sudeste,atraso,938.08
243,2026-01-20,2026-01-24,FastLog,Nordeste,entregue,843.21
244,2026-03-12,2026-03-18,FastLog,Sul,atraso,850.41
245,2026-02-21,2026-02-27,UltraShip,Norte,atraso,338.05
246,2026-02-02,2026-02-04,LogX,Nordeste,entregue,457.98
247,2026-02-09,2026-02-17,Speedy,Sudeste,atraso,497.17
248,2026-02-08,2026-02-15,Speedy,Centro-Oeste,atraso,199.5
249,2026-03-23,2026-03-24,UltraShip,Sul,entregue,79.51
250,2026-01-01,2026-01-06,UltraShip,Centro-Oeste,atraso,949.56
251,2026-01-11,2026-01-17,FastLog,Nordeste,atraso,278.68
252,2026-02-26,2026-03-02,FastLog,Sudeste,entregue,277.95
253,2026-03-30,2026-04-01,LogX,Norte,entregue,129.21
254,2026-02-19,2026-02-23,FastLog,Centro-Oeste,entregue,932.08
255,2026-01-23,2026-01-24,FastLog,Norte,entregue,600.75
256,2026-01-31,2026-02-07,LogX,Sudeste,atraso,683.69
257,2026-02-11,2026-02-13,Speedy,Centro-Oeste,entregue,916.0
258,2026-01-07,2026-01-09,LogX,Norte,entregue,378.34
259,2026-01-16,2026-01-25,LogX,Norte,atraso,640.43
260,2026-03-31,2026-04-05,Speedy,Centro-Oeste,atraso,86.86
261,2026-03-01,2026-03-03,FastLog,Sudeste,entregue,227.43
262,2026-01-02,2026-01-11,FastLog,Norte,atraso,839.68
263,2026-01-01,2026-01-10,Speedy,Nordeste,atraso,778.43
264,2026-02-17,2026-02-18,Speedy,Centro-Oeste,entregue,383.11
265,2026-01-12,2026-01-15,Speedy,Sul,entregue,407.97
266,2026-03-10,2026-03-14,FastLog,Sul,entregue,556.88
267,2026-02-06,2026-02-13,Speedy,Sudeste,atraso,50.23
268,2026-02-01,2026-02-05,Speedy,Nordeste,entregue,279.18
269,2026-01-09,2026-01-11,LogX,Norte,entregue,247.82
270,2026-01-19,2026-01-26,Speedy,Sul,atraso,287.96
271,2026-02-17,2026-02-23,UltraShip,Sudeste,atraso,815.61
272,2026-03-21,2026-03-24,LogX,Nordeste,entregue,315.69
273,2026-01-03,2026-01-09,LogX,Nordeste,atraso,231.95
274,2026-01-20,2026-01-26,UltraShip,Sudeste,atraso,529.05
275,2026-01-24,2026-01-29,Speedy,Sudeste,atraso,872.36
276,2026-02-23,2026-02-27,LogX,Norte,entregue,279.28
277,2026-02-02,2026-02-03,Speedy,Sudeste,entregue,124.61
278,2026-01-24,2026-01-30,LogX,Norte,atraso,388.58
279,2026-03-16,2026-03-18,FastLog,Norte,entregue,760.27
280,2026-03-13,2026-03-16,LogX,Centro-Oeste,entregue,573.16
281,2026-02-05,2026-02-13,UltraShip,Nordeste,atraso,825.95
282,2026-02-07,2026-02-13,UltraShip,Nordeste,atraso,961.61
283,2026-03-25,2026-03-28,LogX,Nordeste,entregue,803.03
284,2026-03-30,2026-04-06,LogX,Centro-Oeste,atraso,623.61
285,2026-01-25,2026-01-29,FastLog,Norte,entregue,518.67
286,2026-01-18,2026-01-27,UltraShip,Norte,atraso,88.07
287,2026-03-23,2026-03-28,UltraShip,Sudeste,atraso,985.11
288,2026-03-07,2026-03-10,Speedy,Centro-Oeste,entregue,414.31
289,2026-02-23,2026-02-25,Speedy,Sudeste,entregue,194.62
290,2026-02-04,2026-02-06,Speedy,Centro-Oeste,entregue,683.37
291,2026-03-21,2026-03-24,LogX,Sudeste,entregue,320.07
292,2026-03-02,2026-03-04,FastLog,Sul,entregue,606.49
293,2026-02-10,2026-02-14,LogX,Nordeste,entregue,607.43
294,2026-02-02,2026-02-04,Speedy,Nordeste,entregue,473.44
295,2026-03-09,2026-03-18,Speedy,Norte,atraso,844.31
296,2026-02-02,2026-02-04,LogX,Sul,entregue,301.72
297,2026-01-14,2026-01-23,UltraShip,Nordeste,atraso,476.2
298,2026-01-21,2026-01-27,FastLog,Norte,atraso,560.81
299,2026-02-17,2026-02-18,LogX,Sul,entregue,680.44
300,2026-01-20,2026-01-24,Speedy,Nordeste,entregue,794.77
301,2026-01-08,2026-01-09,Speedy,Sudeste,entregue,425.07
302,2026-01-07,2026-01-13,Speedy,Centro-Oeste,atraso,663.74
303,2026-03-08,2026-03-12,FastLog,Sul,entregue,193.08
304,2026-01-17,2026-01-20,FastLog,Norte,entregue,936.02
305,2026-02-02,2026-02-05,Speedy,Sul,entregue,413.91
306,2026-02-17,2026-02-26,LogX,Norte,atraso,743.05
307,2026-03-17,2026-03-23,FastLog,Sul,atraso,69.32
308,2026-02-28,2026-03-09,Speedy,Norte,atraso,244.93
309,2026-03-27,2026-04-01,LogX,Nordeste,atraso,512.73
310,2026-01-22,2026-01-24,Speedy,Sudeste,entregue,884.34
311,2026-01-30,2026-02-07,Speedy,Nordeste,atraso,550.89
312,2026-02-07,2026-02-12,FastLog,Sudeste,atraso,933.38
313,2026-02-20,2026-02-22,FastLog,Nordeste,entregue,509.61
314,2026-02-23,2026-02-27,Speedy,Nordeste,entregue,515.93
315,2026-01-08,2026-01-17,Speedy,Sul,atraso,163.76
316,2026-01-27,2026-01-31,Speedy,Centro-Oeste,entregue,812.52
317,2026-01-27,2026-01-31,Speedy,Norte,entregue,284.62
318,2026-01-21,2026-01-23,Speedy,Norte,entregue,904.63
319,2026-01-30,2026-02-05,UltraShip,Norte,atraso,915.28
320,2026-01-28,2026-01-30,LogX,Sudeste,entregue,946.14
321,2026-03-05,2026-03-12,LogX,Norte,atraso,544.22
322,2026-03-10,2026-03-13,LogX,Norte,entregue,693.24
323,2026-03-02,2026-03-05,FastLog,Sul,entregue,789.59
324,2026-02-17,2026-02-22,LogX,Nordeste,atraso,174.46
325,2026-01-19,2026-01-22,FastLog,Norte,entregue,620.91
326,2026-01-04,2026-01-06,UltraShip,Centro-Oeste,entregue,82.58
327,2026-02-04,2026-02-13,LogX,Norte,atraso,522.69
328,2026-03-05,2026-03-07,LogX,Sudeste,entregue,197.1
329,2026-02-18,2026-02-20,LogX,Sudeste,entregue,223.78
330,2026-01-17,2026-01-25,FastLog,Sudeste,atraso,396.8
331,2026-02-13,2026-02-22,FastLog,Norte,atraso,460.82
332,2026-01-30,2026-02-06,LogX,Sul,atraso,642.01
333,2026-02-15,2026-02-18,FastLog,Centro-Oeste,entregue,120.71
334,2026-01-06,2026-01-15,Speedy,Norte,atraso,528.51
335,2026-02-06,2026-02-09,UltraShip,Sul,entregue,223.49
336,2026-01-24,2026-01-29,UltraShip,Sul,atraso,595.28
337,2026-02-15,2026-02-24,Speedy,Norte,atraso,655.53
338,2026-02-22,2026-02-25,FastLog,Norte,entregue,578.87
339,2026-03-01,2026-03-08,UltraShip,Sul,atraso,751.38
340,2026-03-04,2026-03-05,UltraShip,Sul,entregue,368.83
341,2026-03-26,2026-03-30,FastLog,Sul,entregue,776.85
342,2026-02-01,2026-02-05,Speedy,Norte,entregue,461.13
343,2026-03-28,2026-04-04,FastLog,Sul,atraso,509.98
344,2026-02-02,2026-02-10,Speedy,Sudeste,atraso,665.7
345,2026-03-08,2026-03-09,UltraShip,Norte,entregue,67.44
346,2026-01-18,2026-01-23,FastLog,Sudeste,atraso,671.29
347,2026-01-25,2026-02-01,UltraShip,Nordeste,atraso,637.66
348,2026-02-23,2026-02-27,Speedy,Norte,entregue,344.35
349,2026-02-27,2026-03-03,UltraShip,Nordeste,entregue,131.5
350,2026-03-08,2026-03-12,LogX,Sul,entregue,136.39
351,2026-02-15,2026-02-21,Speedy,Sul,atraso,927.06
352,2026-01-24,2026-01-31,FastLog,Centro-Oeste,atraso,704.82
353,2026-02-01,2026-02-03,LogX,Sul,entregue,170.75
354,2026-02-16,2026-02-21,FastLog,Nordeste,atraso,388.89
355,2026-03-27,2026-03-31,UltraShip,Sul,entregue,612.86
356,2026-01-23,2026-01-26,Speedy,Norte,entregue,843.79
357,2026-03-07,2026-03-14,UltraShip,Sul,atraso,91.48
358,2026-01-27,2026-02-02,UltraShip,Centro-Oeste,atraso,274.8
359,2026-01-02,2026-01-09,FastLog,Sul,atraso,895.26
360,2026-03-31,2026-04-05,LogX,Nordeste,atraso,58.71
361,2026-01-17,2026-01-23,FastLog,Nordeste,atraso,241.33
362,2026-02-02,2026-02-07,FastLog,Sul,atraso,961.07
363,2026-01-09,2026-01-16,FastLog,Nordeste,atraso,632.73
364,2026-02-12,2026-02-14,LogX,Nordeste,entregue,298.59
365,2026-02-17,2026-02-22,FastLog,Centro-Oeste,atraso,113.64
366,2026-02-08,2026-02-14,FastLog,Norte,atraso,76.78
367,2026-02-11,2026-02-17,FastLog,Centro-Oeste,atraso,282.51
368,2026-01-26,2026-01-31,FastLog,Sudeste,atraso,887.41
369,2026-02-19,2026-02-26,UltraShip,Centro-Oeste,atraso,445.12
370,2026-01-25,2026-02-02,Speedy,Sul,atraso,734.32
371,2026-01-24,2026-01-31,UltraShip,Norte,atraso,922.37
372,2026-01-13,2026-01-18,LogX,Sul,atraso,437.64
373,2026-03-01,2026-03-02,FastLog,Sudeste,entregue,231.71
374,2026-01-07,2026-01-12,Speedy,Norte,atraso,541.26
375,2026-02-26,2026-02-28,LogX,Nordeste,entregue,912.68
376,2026-02-05,2026-02-10,FastLog,Centro-Oeste,atraso,814.16
377,2026-02-14,2026-02-19,FastLog,Sul,atraso,112.54
378,2026-01-20,2026-01-22,FastLog,Sudeste,entregue,707.94
379,2026-03-06,2026-03-11,FastLog,Nordeste,atraso,593.3
380,2026-01-08,2026-01-12,LogX,Centro-Oeste,entregue,912.09
381,2026-01-16,2026-01-17,Speedy,Nordeste,entregue,166.36
382,2026-01-14,2026-01-17,FastLog,Centro-Oeste,entregue,557.33
383,2026-03-17,2026-03-18,FastLog,Norte,entregue,885.49
384,2026-03-28,2026-04-02,Speedy,Nordeste,atraso,439.52
385,2026-01-15,2026-01-19,FastLog,Nordeste,entregue,507.9
386,2026-03-07,2026-03-14,LogX,Nordeste,atraso,116.94
387,2026-02-01,2026-02-06,UltraShip,Norte,atraso,314.24
388,2026-03-28,2026-04-01,FastLog,Sudeste,entregue,358.28
389,2026-03-04,2026-03-06,FastLog,Centro-Oeste,entregue,947.87
390,2026-03-27,2026-03-31,LogX,Nordeste,entregue,318.53
391,2026-02-20,2026-02-22,LogX,Norte,entregue,487.83
392,2026-01-25,2026-02-02,LogX,Sudeste,atraso,687.74
393,2026-02-27,2026-03-02,Speedy,Centro-Oeste,entregue,204.07
394,2026-03-04,2026-03-13,FastLog,Norte,atraso,512.12
395,2026-03-03,2026-03-07,LogX,Centro-Oeste,entregue,751.61
396,2026-01-22,2026-01-28,LogX,Nordeste,atraso,873.51
397,2026-02-27,2026-03-04,FastLog,Sudeste,atraso,644.95
398,2026-02-27,2026-02-28,Speedy,Norte,entregue,685.6
399,2026-03-27,2026-04-05,FastLog,Sudeste,atraso,169.97
400,2026-02-18,2026-02-19,LogX,Nordeste,entregue,948.49
401,2026-02-21,2026-03-01,FastLog,Sudeste,atraso,175.95
402,2026-02-11,2026-02-20,LogX,Sudeste,atraso,785.94
